Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
940,32,,Der Bericht kommt am Ende noch einmal _____ die wichtigsten Ergebnisse der Studie zurück.,auf,Der Bericht kommt am Ende noch einmal auf die wichtigsten Ergebnisse der Studie zurück.,The report returns at the end to the most important results of the study.,Le rapport revient à la fin sur les résultats les plus importants de l’étude.,,,,zurückkommen auf,"to come back to, to refer to = zurückkommen auf + Accusative",revenir à = zurückkommen auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,"to come back to, to refer to = zurückkommen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.",revenir à = zurückkommen auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
941,33,C2,seufzen _____,unter,seufzen unter,to sigh under,soupirer sous,Dative,Datif,seufzen,seufzen unter,to sigh under = seufzen unter + Dative,soupirer sous = seufzen unter + Datif,to introduce a position of weakness → unter + Dat.,pour introduire une position de faiblesse → unter + Dat.,to sigh under = seufzen unter + Dative<br>to introduce a position of weakness → unter + Dat.,soupirer sous = seufzen unter + Datif<br>pour introduire une position de faiblesse → unter + Dat.
942,33,C2,erziehen _____,zu,erziehen zu,to raise to,élever à,Dative,Datif,erziehen,erziehen zu,to raise to = erziehen zu + Dative,élever à = erziehen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to raise to = erziehen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,élever à = erziehen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
943,33,C2,experimentieren _____,mit,experimentieren mit,to experiment with,expérimenter avec,Dative,Datif,experimentieren,experimentieren mit,to experiment with = experimentieren mit + Dative,expérimenter avec = experimentieren mit + Datif,to introduce a subject to handle → mit + Dat.,pour introduire un sujet à gérer → mit + Dat.,to experiment with = experimentieren mit + Dative<br>to introduce a subject to handle → mit + Dat.,expérimenter avec = experimentieren mit + Datif<br>pour introduire un sujet à gérer → mit + Dat.
944,33,C2,schimpfen _____,über,schimpfen über,to complain about something,se plaindre de quelque chose,Accusative,Accusatif,schimpfen,schimpfen über,to complain about something = schimpfen über + Accusative,se plaindre de quelque chose = schimpfen über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to complain about something = schimpfen über + Accusative<br>to introduce a general subject → über + Acc.,se plaindre de quelque chose = schimpfen über + Accusatif<br>pour introduire un sujet général → über + Acc.
945,33,C2,schimpfen _____,auf,schimpfen auf,to rant at something,"s'en prendre à, pester contre, reprocher",Accusative,Accusatif,schimpfen,schimpfen auf,to rant at something = schimpfen auf + Accusative,"s'en prendre à, pester contre, reprocher = schimpfen auf + Accusatif",to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to rant at something = schimpfen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,"s'en prendre à, pester contre, reprocher = schimpfen auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc."
946,33,C2,schimpfen _____,mit,schimpfen mit,to scold someone,"gronder quelqu'un, réprimender quelqu'un",Dative,Datif,schimpfen,schimpfen mit,to scold someone = schimpfen mit + Dative,"gronder quelqu'un, réprimender quelqu'un = schimpfen mit + Datif",to introduce a subject to handle → mit + Dat.,pour introduire un sujet à gérer → mit + Dat.,to scold someone = schimpfen mit + Dative<br>to introduce a subject to handle → mit + Dat.,"gronder quelqu'un, réprimender quelqu'un = schimpfen mit + Datif<br>pour introduire un sujet à gérer → mit + Dat."
947,33,C2,staunen _____,über,staunen über,to marvel at,s'émerveiller devant,Accusative,Accusatif,staunen,staunen über,to marvel at = staunen über + Accusative,s'émerveiller devant = staunen über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to marvel at = staunen über + Accusative<br>to introduce an emotional theme → über + Acc.,s'émerveiller devant = staunen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
948,33,C2,zweifeln _____,an,zweifeln an,to doubt,douter de,Dative,Datif,zweifeln,zweifeln an,to doubt = zweifeln an + Dative,douter de = zweifeln an + Datif,,,to doubt = zweifeln an + Dative,douter de = zweifeln an + Datif
949,33,C2,befördern _____,zu,befördern zu,to promote to,promouvoir,Dative,Datif,befördern,befördern zu,to promote to = befördern zu + Dative,promouvoir = befördern zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to promote to = befördern zu + Dative<br>to introduce an outcome or direction → zu + Dat.,promouvoir = befördern zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
950,33,C2,entschließen _____,zu,entschließen zu,to resolve to,résoudre à,Dative,Datif,entschließen,entschließen zu,to resolve to = entschließen zu + Dative,résoudre à = entschließen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to resolve to = entschließen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,résoudre à = entschließen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
951,33,C2,sich beeilen _____,mit,sich beeilen mit,to hurry with,se dépêcher,Dative,Datif,beeilen,sich beeilen mit,to hurry with = sich beeilen mit + Dative,se dépêcher = sich beeilen mit + Datif,to introduce a subject to handle → mit + Dat.,pour introduire un sujet à gérer → mit + Dat.,to hurry with = sich beeilen mit + Dative<br>to introduce a subject to handle → mit + Dat.,se dépêcher = sich beeilen mit + Datif<br>pour introduire un sujet à gérer → mit + Dat.
952,33,C2,neigen _____,zu,neigen zu,to tend to,s'occuper de,Dative,Datif,neigen,neigen zu,to tend to = neigen zu + Dative,s'occuper de = neigen zu + Datif,to introduce a combination → zu + Dat.,pour introduire une association → zu + Dat.,to tend to = neigen zu + Dative<br>to introduce a combination → zu + Dat.,s'occuper de = neigen zu + Datif<br>pour introduire une association → zu + Dat.
953,33,C2,überreden _____,zu,überreden zu,to persuade to,persuader de,Dative,Datif,überreden,überreden zu,to persuade to = überreden zu + Dative,persuader de = überreden zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to persuade to = überreden zu + Dative<br>to introduce an outcome or direction → zu + Dat.,persuader de = überreden zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
954,33,C2,sich versetzen _____,in,sich versetzen in,to put into,mettre dans,Accusative,Accusatif,versetzen,sich versetzen in,to put into = sich versetzen in + Accusative,mettre dans = sich versetzen in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to put into = sich versetzen in + Accusative<br>to introduce a transformation → in + Acc.,mettre dans = sich versetzen in + Accusatif<br>pour introduire une transformation → in + Acc.
955,33,C2,sich zusammensetzen _____,aus,sich zusammensetzen aus,to assemble from,assembler à partir de,Dative,Datif,zusammensetzen,sich zusammensetzen aus,to assemble from = sich zusammensetzen aus + Dative,assembler à partir de = sich zusammensetzen aus + Datif,to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to assemble from = sich zusammensetzen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,assembler à partir de = sich zusammensetzen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.
956,34,,"Sie seufzte _____ dem Druck, der in den letzten Wochen immer stärker geworden war.",unter,"Sie seufzte unter dem Druck, der in den letzten Wochen immer stärker geworden war.",She sighed under the pressure that had been increasing over the past weeks.,Elle a soupiré sous la pression qui s’était intensifiée ces dernières semaines.,,,seufzen,seufzen unter,to sigh under = seufzen unter + Dative,soupirer sous = seufzen unter + Datif,to introduce a position of weakness → unter + Dat.,pour introduire une position de faiblesse → unter + Dat.,to sigh under = seufzen unter + Dative<br>to introduce a position of weakness → unter + Dat.,soupirer sous = seufzen unter + Datif<br>pour introduire une position de faiblesse → unter + Dat.
957,34,,"Er seufzte _____ der Last der Verantwortung, die plötzlich auf ihm lag.",unter,"Er seufzte unter der Last der Verantwortung, die plötzlich auf ihm lag.",He sighed under the weight of the responsibility that suddenly rested on him.,Il a soupiré sous le poids de la responsabilité qui reposait soudainement sur lui.,,,seufzen,seufzen unter,to sigh under = seufzen unter + Dative,soupirer sous = seufzen unter + Datif,to introduce a position of weakness → unter + Dat.,pour introduire une position de faiblesse → unter + Dat.,to sigh under = seufzen unter + Dative<br>to introduce a position of weakness → unter + Dat.,soupirer sous = seufzen unter + Datif<br>pour introduire une position de faiblesse → unter + Dat.
958,34,,Viele Mitarbeitende seufzten _____ der hohen Arbeitsbelastung im Unternehmen.,unter,Viele Mitarbeitende seufzten unter der hohen Arbeitsbelastung im Unternehmen.,Many employees sighed under the heavy workload in the company.,De nombreux employés soupiraient sous la forte charge de travail dans l’entreprise.,,,seufzen,seufzen unter,to sigh under = seufzen unter + Dative,soupirer sous = seufzen unter + Datif,to introduce a position of weakness → unter + Dat.,pour introduire une position de faiblesse → unter + Dat.,to sigh under = seufzen unter + Dative<br>to introduce a position of weakness → unter + Dat.,soupirer sous = seufzen unter + Datif<br>pour introduire une position de faiblesse → unter + Dat.
959,34,,Er zieht das Kind _____ einem verantwortungsvollen Menschen.,zu,Er zieht das Kind zu einem verantwortungsvollen Menschen.,He is raising the child to be a responsible person.,Il élève son enfant pour qu'il devienne une personne responsable.,,,erziehen,erziehen zu,to raise to = erziehen zu + Dative,élever à = erziehen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to raise to = erziehen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,élever à = erziehen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
960,34,,Kinder müssen _____ Toleranz erzogen werden.,zu,Kinder müssen zu Toleranz erzogen werden.,Children must be educated to be tolerant.,Il faut éduquer les enfants à la tolérance.,,,erziehen,erziehen zu,to raise to = erziehen zu + Dative,élever à = erziehen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to raise to = erziehen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,élever à = erziehen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
