Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
743,20,_____ der Hochzeit seiner Tochter lud er die gesamte Familie ein.,Anlässlich,Anlässlich der Hochzeit seiner Tochter lud er die gesamte Familie ein.,"On the occasion of his daughter's wedding, he invited the entire family.","A l'occasion du mariage de sa fille, il a invité toute la famille.","on the occasion of, in honor of = anlässlich","à l'occasion de, en l'honneur de = anlässlich",,
744,20,Der Präsident hielt eine Rede _____ des Nationalfeiertags.,anlässlich,Der Präsident hielt eine Rede anlässlich des Nationalfeiertags.,The president gave a speech on the occasion of the national holiday.,Le président a prononcé un discours à l'occasion de la fête nationale.,"on the occasion of, in honor of = anlässlich","à l'occasion de, en l'honneur de = anlässlich",,
745,20,_____ der Eröffnung des neuen Museums wurden kostenlose Führungen angeboten.,Anlässlich,Anlässlich der Eröffnung des neuen Museums wurden kostenlose Führungen angeboten.,"On the occasion of the new museum's opening, free tours were offered.","A l'occasion de l'ouverture du nouveau musée, des visites gratuites ont été proposées.","on the occasion of, in honor of = anlässlich","à l'occasion de, en l'honneur de = anlässlich",,
746,20,_____ der Grenze gibt es wirtschaftliche Kooperationen zwischen den Ländern.,Beiderseits,Beiderseits der Grenze gibt es wirtschaftliche Kooperationen zwischen den Ländern.,"On both sides of the border, there are economic cooperations between the countries.","Des deux côtés de la frontière, il existe des coopérations économiques entre les pays.",on both sides of = beiderseits,des deux côtés de = beiderseits,,
747,20,Die Bäume _____ der Straße spenden angenehmen Schatten im Sommer.,beiderseits,Die Bäume beiderseits der Straße spenden angenehmen Schatten im Sommer.,The trees on both sides of the road provide pleasant shade in summer.,Les arbres des deux côtés de la route offrent une ombre agréable en été.,on both sides of = beiderseits,des deux côtés de = beiderseits,,
748,20,_____ des Flusses erstrecken sich wunderschöne Weinberge.,Beiderseits,Beiderseits des Flusses erstrecken sich wunderschöne Weinberge.,"On both sides of the river, beautiful vineyards stretch out.","De part et d'autre du fleuve, s'étendent de magnifiques vignobles.",on both sides of = beiderseits,des deux côtés de = beiderseits,,
749,20,Die Diskussion führte zu einer besseren Verständigung _____ der Verhandlungstische.,beiderseits,Die Diskussion führte zu einer besseren Verständigung beiderseits der Verhandlungstische.,The discussion led to better understanding on both sides of the negotiation tables.,La discussion a conduit à une meilleure compréhension entre les deux côtés des tables de négociation.,on both sides of = beiderseits,des deux côtés de = beiderseits,,
750,20,_____ des Vertrages bestehen klare Verpflichtungen für beide Parteien.,Beiderseits,Beiderseits des Vertrages bestehen klare Verpflichtungen für beide Parteien.,"On both sides of the contract, there are clear obligations for both parties.","Des deux côtés du contrat, il existe des obligations claires pour les deux parties.",on both sides of = beiderseits,des deux côtés de = beiderseits,,
751,20,_____ der Grenze gelten andere Gesetze als im Nachbarland.,Diesseits,Diesseits der Grenze gelten andere Gesetze als im Nachbarland.,"On this side of the border, different laws apply than in the neighboring country.","De ce côté de la frontière, des lois différentes de celles du pays voisin s'appliquent.",on this side of = diesseits,de ce côté de = disseits,,
752,20,Die Flora _____ des Flusses unterscheidet sich stark von der auf der anderen Seite.,diesseits,Die Flora diesseits des Flusses unterscheidet sich stark von der auf der anderen Seite.,The flora on this side of the river differs significantly from that on the other side.,La flore de ce côté de la rivière diffère sensiblement de celle de l’autre côté.,on this side of = diesseits,de ce côté de = disseits,,
753,20,Die wirtschaftliche Entwicklung _____ der Alpen verläuft dynamischer als jenseits davon.,diesseits,Die wirtschaftliche Entwicklung diesseits der Alpen verläuft dynamischer als jenseits davon.,The economic development on this side of the Alps is progressing more dynamically than beyond them.,Le développement économique de ce côté des Alpes progresse de manière plus dynamique qu’au-delà.,on this side of = diesseits,de ce côté de = disseits,,
754,20,_____ des politischen Spektrums gibt es viele unterschiedliche Meinungen zu diesem Thema.,Diesseits,Diesseits des politischen Spektrums gibt es viele unterschiedliche Meinungen zu diesem Thema.,"On this side of the political spectrum, there are many different opinions on this topic.","De ce côté du spectre politique, les opinions sur ce sujet sont très différentes.",on this side of = diesseits,de ce côté de = disseits,,
755,20,Die Temperaturen _____ des Äquators sind im Winter deutlich milder als jenseits davon.,diesseits,Die Temperaturen diesseits des Äquators sind im Winter deutlich milder als jenseits davon.,The temperatures on this side of the equator are significantly milder in winter than beyond it.,Les températures de ce côté de l’équateur sont nettement plus douces en hiver qu’au-delà.,on this side of = diesseits,de ce côté de = disseits,,
756,20,_____ der Berge beginnt eine völlig andere Klimazone.,Jenseits,Jenseits der Berge beginnt eine völlig andere Klimazone.,"Beyond the mountains, a completely different climate zone begins.","Au-delà des montagnes, commence une zone climatique complètement différente.","on the other side of, beyond = jenseits","de l'autre côté de, au-delà de = jenseits",,
757,20,Die politische Situation _____ des Atlantiks unterscheidet sich stark von der in Europa.,jenseits,Die politische Situation jenseits des Atlantiks unterscheidet sich stark von der in Europa.,The political situation beyond the Atlantic is very different from that in Europe.,La situation politique au-delà de l’Atlantique est très différente de celle de l’Europe.,"on the other side of, beyond = jenseits","de l'autre côté de, au-delà de = jenseits",,
758,20,_____ der Stadtgrenze gelten andere Bauvorschriften und Steuersätze.,Jenseits,Jenseits der Stadtgrenze gelten andere Bauvorschriften und Steuersätze.,"Beyond the city limits, different building regulations and tax rates apply.","Au-delà des limites de la ville, des réglementations de construction et des taux d'imposition différents s'appliquent.","on the other side of, beyond = jenseits","de l'autre côté de, au-delà de = jenseits",,
759,20,Die Kultur _____ der Landesgrenzen ist oft überraschend vielfältig.,jenseits,Die Kultur jenseits der Landesgrenzen ist oft überraschend vielfältig.,The culture beyond the national borders is often surprisingly diverse.,La culture au-delà des frontières nationales est souvent étonnamment diversifiée.,"on the other side of, beyond = jenseits","de l'autre côté de, au-delà de = jenseits",,
760,20,_____ des Flusses erstreckt sich eine unberührte Naturlandschaft.,Jenseits,Jenseits des Flusses erstreckt sich eine unberührte Naturlandschaft.,"Beyond the river, an untouched natural landscape stretches out.","Au-delà de la rivière, s’étend un paysage naturel intact.","on the other side of, beyond = jenseits","de l'autre côté de, au-delà de = jenseits",,
761,20,_____ seines Amtes traf der Richter eine endgültige Entscheidung.,Kraft,Kraft seines Amtes traf der Richter eine endgültige Entscheidung.,"By virtue of his office, the judge made a final decision.","En vertu de ses fonctions, le juge a rendu une décision définitive.","by virtue of, by use of = kraft",en vertu de = kraft,,
762,20,Der Vertrag wurde _____ gesetzlicher Bestimmungen für ungültig erklärt.,kraft,Der Vertrag wurde kraft gesetzlicher Bestimmungen für ungültig erklärt.,The contract was declared invalid by virtue of legal regulations.,Le contrat a été déclaré nul en vertu de dispositions légales.,"by virtue of, by use of = kraft",en vertu de = kraft,,
763,20,_____ ihrer Erfahrung konnte die Managerin das Unternehmen erfolgreich umstrukturieren.,Kraft,Kraft ihrer Erfahrung konnte die Managerin das Unternehmen erfolgreich umstrukturieren.,"By virtue of her experience, the manager was able to successfully restructure the company.","Grâce à son expérience, la dirigeante a pu restructurer l’entreprise avec succès.","by virtue of, by use of = kraft",en vertu de = kraft,,
764,20,_____ seiner Vollmacht unterzeichnete er das Dokument im Namen der Firma.,Kraft,Kraft seiner Vollmacht unterzeichnete er das Dokument im Namen der Firma.,"By virtue of his authority, he signed the document on behalf of the company.","En vertu de son autorité, il a signé le document au nom de la société.","by virtue of, by use of = kraft",en vertu de = kraft,,
765,20,_____ internationaler Abkommen sind alle Mitgliedstaaten zur Einhaltung der Regeln verpflichtet.,Kraft,Kraft internationaler Abkommen sind alle Mitgliedstaaten zur Einhaltung der Regeln verpflichtet.,"By virtue of international agreements, all member states are obligated to comply with the rules.","En vertu des accords internationaux, tous les États membres sont tenus de respecter les règles.","by virtue of, by use of = kraft",en vertu de = kraft,,
766,20,Das Gericht entschied _____ des Angeklagten aufgrund fehlender Beweise.,zugunsten,Das Gericht entschied zugunsten des Angeklagten aufgrund fehlender Beweise.,The court ruled in favor of the defendant due to a lack of evidence.,Le tribunal a statué en faveur du défendeur en raison d'un manque de preuves.,"in favor of, for the benefit of = zugunsten","en faveur de, au profit de = zugunsten",,
767,20,_____ der Umwelt wurden strengere Recycling-Vorschriften eingeführt.,Zugunsten,Zugunsten der Umwelt wurden strengere Recycling-Vorschriften eingeführt.,Stricter recycling regulations were introduced in favor of the environment.,Des réglementations plus strictes en matière de recyclage ont été introduites en faveur de l’environnement.,"in favor of, for the benefit of = zugunsten","en faveur de, au profit de = zugunsten",,
768,20,Die Spendenaktion wurde _____ von hilfsbedürftigen Kindern organisiert.,zugunsten,Die Spendenaktion wurde zugunsten von hilfsbedürftigen Kindern organisiert.,The fundraising campaign was organized for the benefit of children in need.,La campagne de collecte de fonds a été organisée au profit des enfants dans le besoin.,"in favor of, for the benefit of = zugunsten","en faveur de, au profit de = zugunsten",,
769,20,Die Politiker trafen eine Entscheidung _____ der wirtschaftlichen Stabilität.,zugunsten,Die Politiker trafen eine Entscheidung zugunsten der wirtschaftlichen Stabilität.,The politicians made a decision in favor of economic stability.,Les politiciens ont pris une décision en faveur de la stabilité économique.,"in favor of, for the benefit of = zugunsten","en faveur de, au profit de = zugunsten",,
770,20,Das neue Gesetz wurde _____ der Arbeitnehmerrechte angepasst.,zugunsten,Das neue Gesetz wurde zugunsten der Arbeitnehmerrechte angepasst.,The new law was adjusted in favor of workers' rights.,La nouvelle loi a été adaptée en faveur des droits des travailleurs.,"in favor of, for the benefit of = zugunsten","en faveur de, au profit de = zugunsten",,
771,20,Der Gesamtpreis beträgt 1.200 Euro _____ Mehrwertsteuer.,zuzüglich,Der Gesamtpreis beträgt 1.200 Euro zuzüglich Mehrwertsteuer.,"The total price amounts to 1,200 euros plus value-added tax.",Le prix total s'élève à 1 200 euros hors TVA.,"plus, in addition to = zuzüglich","plus, en plus de = zuzüglich",,
772,20,_____ der Versandkosten ergibt sich ein Endbetrag von 85 Euro.,Zuzüglich,Zuzüglich der Versandkosten ergibt sich ein Endbetrag von 85 Euro.,"Including the shipping costs, the final amount comes to 85 euros.","Frais de port inclus, le montant final s'élève à 85 euros.","plus, in addition to = zuzüglich","plus, en plus de = zuzüglich",,
773,20,"Die Miete beläuft sich auf 900 Euro monatlich, _____ Nebenkosten.",zuzüglich,"Die Miete beläuft sich auf 900 Euro monatlich, zuzüglich Nebenkosten.","The rent amounts to 900 euros per month, plus utility costs.","Le loyer s'élève à 900 euros par mois, plus les charges.","plus, in addition to = zuzüglich","plus, en plus de = zuzüglich",,
