Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
449,31,Nach langen Diskussionen ist das Team endlich _____ gekommen.,zu einem Ergebnis,zu einem Ergebnis kommen,Nach langen Diskussionen ist das Team endlich zu einem Ergebnis gekommen.,"After long discussions, the team finally reached a result.","Après de longues discussions, l’équipe est finalement arrivée à un résultat.",,,,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,,,,,,
450,31,"Wir sind noch nicht _____ gekommen, weil wichtige Daten fehlen.",zu einem Ergebnis,zu einem Ergebnis kommen,"Wir sind noch nicht zu einem Ergebnis gekommen, weil wichtige Daten fehlen.",We have not yet reached a conclusion because important data is missing.,"Nous ne sommes pas encore arrivés à un résultat, car il manque des données importantes.",,,,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,,,,,,
451,32,"In der Diskussion konnte sie überzeugend Beweis _____, dass ihre Methode effektiver ist.",führen,Beweis führen,"In der Diskussion konnte sie überzeugend Beweis führen, dass ihre Methode effektiver ist.","In the discussion, she was able to convincingly prove that her method is more effective.","Lors de la discussion, elle a pu prouver de manière convaincante que sa méthode est plus efficace.",,,,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,,,,,,
452,32,"Der Forscher _____ den Beweis, dass die Theorie auch in der Praxis funktioniert.",führte,Beweis führen,"Der Forscher führte den Beweis, dass die Theorie auch in der Praxis funktioniert.",The researcher demonstrated that the theory also works in practice.,Le chercheur a apporté la preuve que la théorie fonctionne aussi en pratique.,,,,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,,,,,,
453,32,"Uns wurde in Aussicht _____, dass das Projekt noch dieses Jahr abgeschlossen werden könnte.",gestellt,in Aussicht stellen,"Uns wurde in Aussicht gestellt, dass das Projekt noch dieses Jahr abgeschlossen werden könnte.",We were told that the project might be completed this year.,On nous a laissé entendre que le projet pourrait être terminé cette année.,,,,,"etw.<sup>Acc</sup> in Aussicht stellen = to promise, to have in prospect",etw.<sup>Acc</sup> in Aussicht stellen = promettre,,,,,,,
454,32,"Der Verlag _____ ihr die Veröffentlichung ihres Buches in Aussicht, falls sie einige Kapitel überarbeitet.",stellte,in Aussicht stellen,"Der Verlag stellte ihr die Veröffentlichung ihres Buches in Aussicht, falls sie einige Kapitel überarbeitet.",The publisher promised her a publication of her book if she revises a few chapters.,L’éditeur lui a promis une publication de son livre si elle retravaille quelques chapitres.,,,,,"etw.<sup>Acc</sup> in Aussicht stellen = to promise, to have in prospect",etw.<sup>Acc</sup> in Aussicht stellen = promettre,,,,,,,
455,32,"Das Unternehmen _____ verschiedene Lösungen in Betracht, um die Kosten zu senken.",zieht,in Betracht ziehen,"Das Unternehmen zieht verschiedene Lösungen in Betracht, um die Kosten zu senken.",The company is considering various solutions to reduce costs.,L’entreprise envisage plusieurs solutions pour réduire les coûts.,,,,,"etw.<sup>Acc</sup> in Betracht ziehen = to consider, to take into account, to take into consideration","etw.<sup>Acc</sup> in Betracht ziehen = prendre en considération, envisager",,,,,,,
456,32,"Hast du in Betracht _____, dass die Ergebnisse falsch sein könnten?",gezogen,in Betracht ziehen,"Hast du in Betracht gezogen, dass die Ergebnisse falsch sein könnten?",Have you considered that the results might be wrong?,As-tu envisagé que les résultats pourraient être faux?,,,,,"etw.<sup>Acc</sup> in Betracht ziehen = to consider, to take into account, to take into consideration","etw.<sup>Acc</sup> in Betracht ziehen = prendre en considération, envisager",,,,,,,
457,32,"In einer Beziehung ist es wichtig, auf die Bedürfnisse des anderen Rücksicht zu _____.",nehmen,Rücksicht nehmen,"In einer Beziehung ist es wichtig, auf die Bedürfnisse des anderen Rücksicht zu nehmen.","In a relationship, it’s important to be considerate of the other person's needs.","Dans une relation, il est important de prendre en compte les besoins de l’autre.",,,,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,,,,,,
458,32,Beim Fahren sollte man immer Rücksicht auf schwächere Verkehrsteilnehmer _____.,nehmen,Rücksicht nehmen,Beim Fahren sollte man immer Rücksicht auf schwächere Verkehrsteilnehmer nehmen.,"When driving, one should always be considerate of more vulnerable road users.","En conduisant, on devrait toujours faire attention aux usagers de la route plus vulnérables.",,,,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,,,,,,
459,32,"Die Polizei _____ der Bevölkerung Hinweise, wie man sich in dieser Situation verhalten sollte.",gab,Hinweise geben,"Die Polizei gab der Bevölkerung Hinweise, wie man sich in dieser Situation verhalten sollte.",The police gave the public guidance on how to behave in this situation.,La police a donné à la population des indications sur la façon de se comporter dans cette situation.,,,,,"jmd. Hinweise geben = to give instructions, to provide guidance",jmd. Hinweise geben = donner des indications,,,,,,,
460,32,"Er hat mir wertvolle Hinweise _____, die mir bei der Entscheidung sehr geholfen haben.",gegeben,Hinweise geben,"Er hat mir wertvolle Hinweise gegeben, die mir bei der Entscheidung sehr geholfen haben.",He gave me valuable advice that helped me a lot with my decision.,Il m’a donné des indications précieuses qui m’ont beaucoup aidé à prendre ma décision.,,,,,"jmd. Hinweise geben = to give instructions, to provide guidance",jmd. Hinweise geben = donner des indications,,,,,,,
461,32,"Wir haben einen letzten Versuch _____, das Projekt zu retten.",unternommen,einen Versuch unternehmen,"Wir haben einen letzten Versuch unternommen, das Projekt zu retten.",We made a final attempt to save the project.,Nous avons fait une dernière tentative pour sauver le projet.,,,,,einen Versuch unternehmen = to make an attempt,einen Versuch unternehmen = faire un essai,,,,,,,
462,32,"Sie _____ einen Versuch, das Missverständnis zu klären, doch es war nicht einfach.",unternahm,einen Versuch unternehmen,"Sie unternahm einen Versuch, das Missverständnis zu klären, doch es war nicht einfach.","She made an attempt to clear up the misunderstanding, but it wasn’t easy.","Elle a entrepris une tentative pour clarifier le malentendu, mais ce n’était pas facile.",,,,,einen Versuch unternehmen = to make an attempt,einen Versuch unternehmen = faire un essai,,,,,,,
463,32,"Er konnte mir keine Garantie _____, dass das Projekt rechtzeitig fertig wird.",geben,eine Garantie geben,"Er konnte mir keine Garantie geben, dass das Projekt rechtzeitig fertig wird.",He couldn’t give me any guarantee that the project would be finished on time.,Il ne pouvait pas me garantir que le projet serait terminé à temps.,,,,,eine Garantie geben = give a guarantee,eine Garantie geben = donner une garantie,,,,,,,
464,32,"Der Vertrag _____ keine Garantie dafür, dass alle Risiken ausgeschlossen sind.",gibt,eine Garantie geben,"Der Vertrag gibt keine Garantie dafür, dass alle Risiken ausgeschlossen sind.",The contract does not give any guarantee that all risks are excluded.,Le contrat ne donne aucune garantie que tous les risques soient exclus.,,,,,eine Garantie geben = give a guarantee,eine Garantie geben = donner une garantie,,,,,,,
465,32,In den Ferien will ich vor allem zur Ruhe _____ und mich erholen.,kommen,zur Ruhe kommen,In den Ferien will ich vor allem zur Ruhe kommen und mich erholen.,"On vacation, I mainly want to unwind and relax.","En vacances, je veux surtout me détendre et me reposer.",,,,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,,,,,,
466,32,"Die Situation war so chaotisch, dass niemand richtig zur Ruhe _____ konnte.",kommen,zur Ruhe kommen,"Die Situation war so chaotisch, dass niemand richtig zur Ruhe kommen konnte.",The situation was so chaotic that no one could really calm down.,La situation était tellement chaotique que personne ne pouvait vraiment se détendre.,,,,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,,,,,,
467,32,Erst nach mehreren Tests konnte die Forschung zu einem klaren Ergebnis _____.,kommen,zu einem Ergebnis kommen,Erst nach mehreren Tests konnte die Forschung zu einem klaren Ergebnis kommen.,Only after several tests was the research able to reach a clear result.,Ce n’est qu’après plusieurs tests que la recherche a pu arriver à un résultat clair.,,,,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,,,,,,
468,32,"Wenn beide Seiten kompromissbereit sind, kann man schneller zu einem Ergebnis _____.",kommen,zu einem Ergebnis kommen,"Wenn beide Seiten kompromissbereit sind, kann man schneller zu einem Ergebnis kommen.","If both sides are willing to compromise, you can reach a result more quickly.","Si les deux parties sont prêtes à faire des compromis, on peut arriver plus vite à un résultat.",,,,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,,,,,,
469,105,,,Freude bereiten,Freude bereiten,give pleasure,apporter de la joie,,,,,,,bereiten,C1,,B1B2,Freude bereiten,borderline NVV,erfreuen
470,110,,,ein Referat halten,ein Referat halten,Give a presentation,,,,,,,,halten,A1,,B2,ein Referat halten,yes,"referieren, vortragen"
471,110,,,ein Risiko eingehen,ein Risiko eingehen,Take a risk,,,,,,,,eingehen,B2,,B2,ein Risiko eingehen,yes,riskieren
472,110,,,einen Auftrag geben,einen Auftrag geben,place an order,,,,,,,,geben,A1,,B2,einen Auftrag geben,yes,beauftragen
473,110,,,Gefahr laufen,Gefahr laufen,Run a risk,,,,,,,,laufen,A1,,B2,Gefahr laufen,yes,riskieren
474,110,,,Gefallen finden,Gefallen finden,Take a liking to,,,,,an,,,finden,A1,,B2,Gefallen finden,yes,gefallen an etwas finden ≈ mögen
475,110,,,Kontakt aufnehmen,Kontakt aufnehmen,make contact,,,,,,,,aufnehmen,B1,,B2,Kontakt aufnehmen,yes,kontaktieren
476,110,,,Mut fassen,Mut fassen,take courage,,,,,,,,fassen,B2,,B2,Mut fassen,yes,"sich ermutigen, mutig werden"
477,110,,,sich Hoffnung machen,sich Hoffnung machen,give oneself hope,,,,,,,,machen,A1,,B2,sich Hoffnung machen,borderline NVV,hoffen
478,110,,,eine Niederlage erleiden,eine Niederlage erleiden,suffer a defeat,,,,,,,,erleiden,C1,,B2,eine Niederlage erleiden,yes,verlieren
479,110,,,Auskunft geben,Auskunft geben,to provide information,,,,,über,,,geben,A1,,B2,Auskunft geben,yes,informieren
480,110,,,viel Worte machen,viel Worte machen,to make a big deal out of,,,,,um,,,machen,A1,,B2,viel Worte machen,yes,viel reden
481,115,,,ein Gefühl erwecken,ein Gefühl erwecken,,,,,,bei,,,erwecken,D1,,B2C1,ein Gefühl erwecken,borderline NVV,"wirken, den Eindruck erwecken"
482,115,,,eine Erklärung liefern,eine Erklärung liefern,provide an explanation,,,,,,,,liefern,B1,,B2C1,eine Erklärung liefern,borderline NVV,erklären
483,115,,,auf Ablehnung stoßen,auf Ablehnung stoßen,Be rejected,,,,,,,,stoßen,B1,,B2C1,auf Ablehnung stoßen,yes,abgelehnt werden
484,115,,,auf Kritik stoßen,auf Kritik stoßen,Be criticized,,,,,,,,stoßen,B1,,B2C1,auf Kritik stoßen,yes,kritisiert werden
485,115,,,eine Analyse durchführen,eine Analyse durchführen,conduct an analysis,,,,,,,,durchführen,B2,,B2C1,eine Analyse durchführen,yes,analysieren
486,115,,,eine Vereinbarung treffen,eine Vereinbarung treffen,reach an agreement,,,,,,,,treffen,A1,,B2C1,eine Vereinbarung treffen,yes,vereinbaren
487,115,,,Einfluss nehmen,Einfluss nehmen,Exert influence,,,,,auf,,,nehmen,A1,,B2C1,Einfluss nehmen,yes,beeinflussen
488,115,,,in Angriff nehmen,in Angriff nehmen,Tackle,,,,,,,,nehmen,A1,,B2C1,in Angriff nehmen,yes,"beginnen, angehen"
489,115,,,in Bewegung bringen,in Bewegung bringen,Set in motion,,,,,,,,bringen,A1,,B2C1,in Bewegung bringen,yes,"bewegen, auslösen"
490,115,,,in Schutz nehmen,in Schutz nehmen,take someone under one's protection,,,,,,,,nehmen,A1,,B2C1,in Schutz nehmen,yes,verteidigen
491,115,,,in Verlegenheit bringen,in Verlegenheit bringen,embarrass,,,,,,,,bringen,A1,,B2C1,in Verlegenheit bringen,yes,"beschämen, in Bedrängnis bringen"
492,115,,,sich zum Ziel setzen,sich zum Ziel setzen,set oneself a goal,,,,,,,,setzen,A2,,B2C1,sich zum Ziel setzen,yes,sich vornehmen
493,115,,,zu einer Einsicht kommen,zu einer Einsicht kommen,come to an understanding,,,,,,,,kommen,A1,,B2C1,zu einer Einsicht kommen,borderline NVV,einsehen
494,115,,,zum Ausdruck bringen,zum Ausdruck bringen,express oneself,,,,,,,,bringen,A1,,B2C1,zum Ausdruck bringen,yes,ausdrücken
