Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
511,24,"_____ ist zu berücksichtigen, dass die langfristigen Folgen noch kaum abzuschätzen sind.",Darüber hinaus,Darüber hinaus,"Darüber hinaus ist zu berücksichtigen, dass die langfristigen Folgen noch kaum abzuschätzen sind.","In addition to that, it must be taken into account that the long-term consequences are still difficult to assess.","Qui plus est, il faut prendre en compte que les conséquences à long terme sont encore difficiles à estimer.",,,"darüber hinaus = in addition to that, beyond that, additionally ● Adverb","darüber hinaus = par ailleurs, qui plus est, de surcroît ● Adverbe"
512,24,_____ erwies sich das neue Verfahren als deutlich effizienter als die bisherigen Methoden.,Darüber hinaus,Darüber hinaus,Darüber hinaus erwies sich das neue Verfahren als deutlich effizienter als die bisherigen Methoden.,"Beyond that, the new procedure proved to be significantly more efficient than the previous methods.","Par ailleurs, la nouvelle procédure s’est révélée nettement plus efficace que les méthodes précédentes.",,,"darüber hinaus = in addition to that, beyond that, additionally ● Adverb","darüber hinaus = par ailleurs, qui plus est, de surcroît ● Adverbe"
513,24,"_____ wurde betont, dass ohne internationale Kooperation keine nachhaltige Lösung möglich sei.",Darüber hinaus,Darüber hinaus,"Darüber hinaus wurde betont, dass ohne internationale Kooperation keine nachhaltige Lösung möglich sei.","Additionally, it was emphasized that without international cooperation no sustainable solution would be possible.","Par ailleurs, il a été souligné que sans coopération internationale, aucune solution durable ne serait possible.",,,"darüber hinaus = in addition to that, beyond that, additionally ● Adverb","darüber hinaus = par ailleurs, qui plus est, de surcroît ● Adverbe"
514,24,"_____ vermittelte der Bericht den Eindruck, dass die Verantwortlichen den Überblick verloren hatten.",Darüber hinaus,Darüber hinaus,"Darüber hinaus vermittelte der Bericht den Eindruck, dass die Verantwortlichen den Überblick verloren hatten.","Additionally, the report gave the impression that those in charge had lost control of the situation.","De surcroît, le rapport donnait l’impression que les responsables avaient perdu la maîtrise de la situation.",,,"darüber hinaus = in addition to that, beyond that, additionally ● Adverb","darüber hinaus = par ailleurs, qui plus est, de surcroît ● Adverbe"
515,24,"Es war kein Missverständnis, _____ eine bewusste Täuschung.",vielmehr,vielmehr,"Es war kein Missverständnis, vielmehr eine bewusste Täuschung.","It wasn’t a misunderstanding, but rather a deliberate deception.","Il ne s'agissait pas d'un malentendu, mais bien d'une tromperie délibérée.",,,"vielmehr = rather, but rather ● Adverb","vielmehr = mais plutôt, au contraire ● Adverbe"
516,24,"Er hat nicht aufgegeben, _____ hat er sich neue Ziele gesetzt.",vielmehr,vielmehr,"Er hat nicht aufgegeben, vielmehr hat er sich neue Ziele gesetzt.","He didn’t give up, rather, he set new goals for himself.","Il n’a pas abandonné, au contraire, il s’est fixé de nouveaux objectifs.",,,"vielmehr = rather, but rather ● Adverb","vielmehr = mais plutôt, au contraire ● Adverbe"
517,24,"Die Entscheidung war nicht leichtfertig, _____ gründlich überlegt.",vielmehr,vielmehr,"Die Entscheidung war nicht leichtfertig, vielmehr gründlich überlegt.","The decision wasn’t made lightly, but rather carefully considered.","Cette décision n'a pas été prise à la légère, mais après mûre réflexion.",,,"vielmehr = rather, but rather ● Adverb","vielmehr = mais plutôt, au contraire ● Adverbe"
518,24,"Es handelt sich nicht um ein technisches Problem, _____ um ein organisatorisches.",vielmehr,vielmehr,"Es handelt sich nicht um ein technisches Problem, vielmehr um ein organisatorisches.","It’s not a technical issue, but rather an organizational one.","Ce n’est pas un problème technique, mais plutôt un problème organisationnel.",,,"vielmehr = rather, but rather ● Adverb","vielmehr = mais plutôt, au contraire ● Adverbe"
519,24,"Sie war nicht enttäuscht, _____ erleichtert über das Ergebnis.",vielmehr,vielmehr,"Sie war nicht enttäuscht, vielmehr erleichtert über das Ergebnis.","She wasn’t disappointed, but rather relieved by the outcome.","Elle n'était pas déçue, mais plutôt soulagée par le résultat.",,,"vielmehr = rather, but rather ● Adverb","vielmehr = mais plutôt, au contraire ● Adverbe"
520,24,Er hat viel Erfahrung und handelt _____ professionell.,entsprechend,entsprechend,Er hat viel Erfahrung und handelt entsprechend professionell.,He has a lot of experience and acts accordingly professionally.,Il possède une grande expérience et agit en conséquence avec professionnalisme.,entsprechend = ,"entsprechend = accordingly, correspondingly","entsprechend = accordingly, correspondingly ● Adverb",entsprechend = en conséquence ● Adverbe
521,24,"Die Anforderungen waren hoch, und _____ fiel auch der Druck auf das Team aus.",entsprechend,entsprechend,"Die Anforderungen waren hoch, und entsprechend fiel auch der Druck auf das Team aus.","The requirements were high, and the pressure on the team was correspondingly high.","Les exigences étaient élevées, et la pression sur l'équipe était donc proportionnellement élevée.",entsprechend = ,"entsprechend = accordingly, correspondingly","entsprechend = accordingly, correspondingly ● Adverb",entsprechend = en conséquence ● Adverbe
522,24,"Die Mitarbeiter wurden _____ geschult, um den Anforderungen gerecht zu werden.",entsprechend,entsprechend,"Die Mitarbeiter wurden entsprechend geschult, um den Anforderungen gerecht zu werden.",The employees were trained accordingly to meet the requirements.,Les employés ont été formés en conséquence pour répondre aux exigences.,entsprechend = ,"entsprechend = accordingly, correspondingly","entsprechend = accordingly, correspondingly ● Adverb",entsprechend = en conséquence ● Adverbe
523,24,"Die Diskussion wurde emotional, und _____ hitzig reagierten einige Teilnehmer.",entsprechend,entsprechend,"Die Diskussion wurde emotional, und entsprechend hitzig reagierten einige Teilnehmer.","The discussion became emotional, and some participants reacted heatedly.",La discussion s'est enflammée et certains participants ont réagi avec véhémence.,entsprechend = ,"entsprechend = accordingly, correspondingly","entsprechend = accordingly, correspondingly ● Adverb",entsprechend = en conséquence ● Adverbe
524,24,"Die Datenlage ist unsicher, und _____ vorsichtig formulieren die Forschenden ihre Schlussfolgerungen.",entsprechend,entsprechend,"Die Datenlage ist unsicher, und entsprechend vorsichtig formulieren die Forschenden ihre Schlussfolgerungen.","The data situation is uncertain, and the researchers are therefore cautious in formulating their conclusions.","La situation des données est incertaine, et les chercheurs font donc preuve de prudence dans la formulation de leurs conclusions.",entsprechend = ,"entsprechend = accordingly, correspondingly","entsprechend = accordingly, correspondingly ● Adverb",entsprechend = en conséquence ● Adverbe
525,25,sooft,immer wenn,immer wenn,"Sooft er neue Daten erhält, passt er seine Analyse sofort an.","everytime, whenever",à chaque fois que,Subordinating conjunction,Conjonctions de subordination,"immer wenn = everytime, whenever ● Subordinating conjunction",immer wenn = à chaque fois que ● Conjonctions de subordination
526,25,selbst wenn,auch wenn,auch wenn,"Selbst wenn ich dir die Wahrheit erzählt hätte, würdest du mir übrigens nicht glauben.",even if,même si,Subordinating conjunction,Conjonctions de subordination,auch wenn = even if ● Subordinating conjunction,auch wenn = même si ● Conjonctions de subordination
527,25,somit,also,also,"Er hatte alle Argumente sorgfältig geprüft, somit wirkte seine Entscheidung besonders fundiert.","so, thus, hence","donc, ainsi, d'où",Adverb,Adverbe,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe"
528,25,hingegen,dagegen,dagegen,"Sie bevorzugt strukturierte Abläufe, hingegen arbeitet ihr Team eher spontan.","by contrast, in contrast, on the other hand","par contre, en revanche, au contraire",Adverb,Adverbe,"dagegen = by contrast, in contrast, on the other hand ● Adverb","dagegen = par contre, en revanche, au contraire ● Adverbe"
529,25,im Gegensatz dazu,dagegen,dagegen,"Das Unternehmen setzt auf klassische Methoden, im Gegensatz dazu experimentieren Start-ups viel mehr.","by contrast, in contrast, on the other hand","par contre, en revanche, au contraire",Adverb,Adverbe,"dagegen = by contrast, in contrast, on the other hand ● Adverb","dagegen = par contre, en revanche, au contraire ● Adverbe"
530,25,demnach,folglich,folglich,"Die Hinweise waren eindeutig, demnach musste die Theorie überarbeitet werden.","consequently, as a result, thereupon","par conséquent, en conséquence",Adverb,Adverbe,"folglich = consequently, as a result, thereupon ● Adverb","folglich = par conséquent, en conséquence ● Adverbe"
531,25,daraufhin,folglich,folglich,"Der Bericht enthielt mehrere Unklarheiten, daraufhin forderte die Kommission weitere Unterlagen an.","consequently, as a result, thereupon","par conséquent, en conséquence",Adverb,Adverbe,"folglich = consequently, as a result, thereupon ● Adverb","folglich = par conséquent, en conséquence ● Adverbe"
532,25,mithin,folglich,folglich,"Die Ergebnisse waren widersprüchlich, mithin bleibt die Frage vorerst ungeklärt.","consequently, as a result, thereupon","par conséquent, en conséquence",Adverb,Adverbe,"folglich = consequently, as a result, thereupon ● Adverb","folglich = par conséquent, en conséquence ● Adverbe"
533,25,wenngleich,obwohl,obwohl,"Er präsentierte ein überzeugendes Konzept, wenngleich einige Details noch unausgereift wirkten.","although, even though","bien que, même si",Subordinating conjunction,Conjonctions de subordination,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
534,25,gleichwohl,trotzdem,trotzdem,"Die Kritik war scharf, gleichwohl blieb der Autor ruhig und sachlich.","despite it, nevertheless, yet, nonetheless","malgré cela, néanmoins, pourtant",Adverb,Adverbe,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
535,25,nichtsdestotrotz,trotzdem,trotzdem,"Die Bedingungen waren ungünstig, nichtsdestotrotz erzielte das Team ein bemerkenswertes Ergebnis.","despite it, nevertheless, yet, nonetheless","malgré cela, néanmoins, pourtant",Adverb,Adverbe,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
536,25,weiterhin,außerdem,außerdem,"Das Projekt war komplex, weiterhin kamen neue Anforderungen hinzu.","besides, moreover, furthermore","en outre, de plus",Adverb,Adverbe,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
537,25,daneben,außerdem,außerdem,"Die Studie untersucht das Konsumverhalten, daneben berücksichtigt sie auch ökologische Kriterien.","besides, moreover, furthermore","en outre, de plus",Adverb,Adverbe,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
538,25,ferner,außerdem,außerdem,"Der Bericht fasst die wichtigsten Trends zusammen, ferner bietet er konkrete Handlungsempfehlungen.","besides, moreover, furthermore","en outre, de plus",Adverb,Adverbe,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
539,25,zunächst,zuerst,zuerst,"Zunächst wollten wir die wichtigsten Annahmen klären, bevor wir mit der Analyse beginnen.","first, at first","d'abord, tout d'abord, au début",Adverb,Adverbe,"zuerst = first, at first ● Adverb","zuerst = d'abord, tout d'abord, au début ● Adverbe"
540,25,ansonsten,sonst,sonst,"Sie hätte die Anleitung sorgfältiger lesen müssen, ansonsten wären die Fehler leicht vermeidbar gewesen.","otherwise, else","sinon, autrement",Adverb,Adverbe,"sonst = otherwise, else ● Adverb","sonst = sinon, autrement ● Adverbe"
